CSP2 FAILURE TYPE,MINE,ORE TYPE,DAM TYPE,DAM FILL MATERIAL,DAM HEIGHT in meters,"STORAGE VOLUME
cu. Meters",ICOLD TYPE,ICOLD INCIDENT TYPE,ICOLD INCIDENT NUMBER,INCIDENT YEAR,INCIDENT DATE,"RELEASE
(cu. meters)",RUNOUT km,DEATHS,SOURCES,NOTES,DEPOSIT TYPE,ORE TYPE,Resources  Mtonnes,Cu grade,Au grade in ppm,CuEq,1st Prod,Est Mill through-put to event Mtonnes,Adverse Minerals
,as of: 22Aug16,,,,,,,,,,,,,,,,,,,,ORE DEPOSIT DATA,,,,
1,"Xiangjiang Wanji Aluminum , China",Al,,,,,1A-SI,1,-,2016,8/Aug/16,"2,000,000",,,"AGU Landslide Blog 15Aug16, az-china.com 11Aug16","The southwest corner of its red-mud dam body was unsound, threatening a red-mud slide.  Around 7pm on 8th of August, Xiangjiang Wanji Aluminium’s red mud storage had a landslide accident. It has been reported that the dam held about 2 million cubic meters of red mud and was about 1.5km in length. (http://blogs.agu.org/landslideblog/2016/08/15/luoyang-1/) Xiangjiang Wanji Aluminium is a private alumina refinery ... established in 2005 ... annual capacity is 1.2 million tonnes of alumina. (http://az-china.com/archives/7980#)",,Al,,,,,,,
1,"Fundao-Santarem (Germano), Minas Gerais, Brazil (Samarco = Vale & BHP)",Fe,US,MW,90,"55,000,000",1A-ST,1,-,2015,5-nov-15,"32,000,000",637,19,"The Australian, 16Nov15, 9Jan16; Sydney Morning Herald, 14Nov15; Do the right Thing, Samarco, December 15, 2015; www.mining.com, 8Jan16","The Fundão dam breached and its tailings impacted the nearby Santarém dam and caused a partial erosion of its right shoulder.  The Selinha dike, one of the side walls of the Germano dam, was also damaged.  19 people killed, including 14 working on the dams at the time.  Waste discharge reached the Atlantic Ocean.",,Fe,,,,,,,
5,"Gold King Mine, near Silverton, Colorado",Au,N/A,N/A,N/A,,3B-ST,3,-,2015,5/Aug/15,"11,356",,,USEPA,"Summary Report, EPA Internal Review of the August 5, 2015 Gold King Mine Blowout, August 24, 2015.  On August 5, 2015, there was a release of approximately 3,000,000 gallons of mine wastewater from the Gold King Mine near Silverton, CO.",,Au,,,,,,,
4,"Yellow Giant Mine, Banks Island, British Columbia, Canada",Au,,,,,2A-ST,2,-,2015,25-jun-15,240,1,,Vancouver Sun,"Effluent and mine waste leaked from a pair of underground mine sites, including from a “non-engineered” containment berm and a concrete plug at an old underground site. Discharge reached the ocean through a creek, several beaver-dam-created wetlands and Banks Lake before entering the ocean at Surrey Bay. (Vancouver Sun, 27Jul15) (""Pollution spill at Yellow Giant gold mine sparks investigation by Environment Canada,"" Hoekstra, Vancouver 29Jul15)",,Au,,,,,,,
2,"Herculano Iron Mine, Itabirite, Minas Gerais, Brazil",Fe,,,,,1A-U,1,-,2014,10-sep-14,,,3,WISE,"A large amount of waste was released on top of vehicles and workers. A truck driver, a bulldozer with operator and a Fiat Uno with the driver were all buried. ""Tailings dam failure kills three workers,"" Mining.com, September 12, 2014.",,Fe,,,,,,,
3,"Buenavista del Cobre mine, Cananea, Sonora, Mexico (Grupo Mexico)",Cu,,,,,1A-U,1,-,2014,7/Aug/14,"40,000",,,WISE,"Southern Copper Corp. (Grupo México) Flow into the 420km-long Bacanuchi river waterway, a tributary of the Sonora River, directly affecting 800,000 people ",PCD,Cu,10000,0.5,,0.5,,1000,Py
1,"Imperial Metals, Mt Polley, British Columbia, Canada",Cu Au,MCL,MW,40,"74,000,000",1A-FN,1,-,2014,4/Aug/14,"23,600,000",7,,Expert Panel Report,"Report on Mount Polley Tailings Storage Facility Breach, Independent Expert Engineering Investigation and Review Panel, Province of British Columbia, January 30, 2015; Imperial Metals 2015 Annual Report",PCD,Cu Au,507,0.28,0.29,0.512607128,2005,56.3628125,Py
2,"Dan River Steam Station, North Carolina (Duke Energy)",Coal,,,,"155,000,000",1A-ST,1,-,2014,2-feb-14,"334,000",,,"WISE, Caldwell 2014","Collapse of an old drainage pipe under a 27-acre ash waste pond.  Ash flowing through drainage pipe into Dan River. Tailings Facility Failures in 2013/2014, Caldwell, 4Nov14",,Coal,,,,,,,
3,"Zangezur Copper Molybdenum Combine, Armenia",Cu Mo,,,,,2A-U,2,-,2013,15-nov-13,,,,"WISE, Green Program","Cronimet Mining AG. Tailings pipeline damage, tailings flowing into Norashenik River for several days (http://www.thegreenprogram.org/slopedoc2.html)",,Cu Mo,,,,,,,
